Titre,Label,Date de sortie,Niveau max atteint,top 1,top 10,top 20,top 40,top 75, top 100
Singles,
LOVE ME DO,PARLOPHONE,17.10.1962,17,00,00,03,14,18,18
PLEASE PLEASE ME,PARLOPHONE,23.01.1963,02,00,08,11,15,18,18
FROM ME TO YOU,PARLOPHONE,24.04.1963,01,07,11,16,19,21,21
MY BONNIE,POLYDOR,12.06.1963,48,00,00,00,00,01,01
SHE LOVES YOU,PARLOPHONE,04.09.1963,01,06,21,24,29,33,33
I WANT TO HOLD YOUR HAND,PARLOPHONE,11.12.1963,01,05,10,13,18,22,22
CAN'T BUY ME LOVE,PARLOPHONE,01.04.1964,01,03,07,09,13,15,15
AIN'T SHE SWEET,POLYDOR,17.06.1964,29,00,00,00,04,06,06
A HARD DAY'S NIGHT,PARLOPHONE,22.07.1964,01,03,09,11,13,13,13
I FEEL FINE,PARLOPHONE,09.12.1964,01,05,08,10,12,13,13
TICKET TO RIDE,PARLOPHONE,21.04.1965,01,03,07,09,11,12,12
HELP!,PARLOPHONE,04.08.1965,01,03,08,10,14,14,14
DAY TRIPPER/WE CAN WORK IT OUT,PARLOPHONE,15.12.1965,01,05,09,10,11,12,12
PAPERBACK WRITER,PARLOPHONE,22.06.1966,01,02,05,07,10,11,11
YELLOW SUBMARINE/ELEANOR RIGBY,PARLOPHONE,17.08.1966,01,04,08,09,12,13,13
PENNY LANE/STRAWBERRY FIELDS FOREVER,PARLOPHONE,01.03.1967,02,00,07,08,10,11,11
ALL YOU NEED IS LOVE,PARLOPHONE,18.07.1967,01,03,08,10,13,13,13
HELLO GOODBYE,PARLOPHONE,05.12.1967,01,07,09,10,11,12,12
MAGICAL MYSTERY TOUR (EP),PARLOPHONE,19.12.1967,02,00,06,09,12,12,12
LADY MADONNA,PARLOPHONE,26.03.1968,01,02,05,06,08,08,08
HEY JUDE,APPLE,10.09.1968,01,02,09,10,15,18,19
GET BACK,APPLE,29.04.1969,01,06,09,10,15,17,17
THE BALLAD OF JOHN AND YOKO,APPLE,10.06.1969,01,03,06,08,12,14,14
SOMETHING/COME TOGETHER,APPLE,08.11.1969,04,00,04,08,11,12,12
LET IT BE,APPLE,14.03.1970,02,00,04,06,10,13,17
YESTERDAY,APPLE,13.03.1976,08,00,03,06,06,07,09
HEY JUDE {1976},APPLE,27.03.1976,12,00,00,04,06,07,07
PAPERBACK WRITER {1976},PARLOPHONE,27.03.1976,23,00,00,00,04,05,05
GET BACK {1976},APPLE,03.04.1976,28,00,00,00,04,05,05
STRAWBERRY FIELDS FOREVER,PARLOPHONE,03.04.1976,32,00,00,00,02,03,03
HELP! {1976},PARLOPHONE,10.04.1976,37,00,00,00,01,03,03
BACK IN THE USSR,PARLOPHONE,10.07.1976,19,00,00,02,06,06,06
SGT PEPPER'S LONELY HEARTS CLUB BAND/WITH A LITTLE HELP FROM MY FRIENDS,PARLOPHONE,07.10.1978,63,00,00,00,00,03,03
THE BEATLES MOVIE MEDLEY,PARLOPHONE,05.06.1982,10,00,01,04,07,09,09
LOVE ME DO {1982},PARLOPHONE,16.10.1982,04,00,03,05,06,07,07
PLEASE PLEASE ME {1983},PARLOPHONE,22.01.1983,29,00,00,00,03,04,04
FROM ME TO YOU {1983},PARLOPHONE,23.04.1983,40,00,00,00,01,04,04
SHE LOVES YOU {1983},PARLOPHONE,03.09.1983,45,00,00,00,00,03,03
I WANT TO HOLD YOUR HAND {1983},PARLOPHONE,26.11.1983,62,00,00,00,00,02,03
CAN'T BUY ME LOVE {1984},PARLOPHONE,31.03.1984,53,00,00,00,00,02,02
A HARD DAY'S NIGHT {1984},PARLOPHONE,21.07.1984,52,00,00,00,00,02,03
I FEEL FINE {1984},PARLOPHONE,08.12.1984,65,00,00,00,00,01,02
TICKET TO RIDE {1985},PARLOPHONE,20.04.1985,70,00,00,00,00,02,03
HELP! {1985},NO-LABEL,03.08.1985,86,00,00,00,00,00,03
DAY TRIPPER/WE CAN WORK IT OUT {1985},NO-LABEL,14.12.1985,79,00,00,00,00,00,03
PAPERBACK WRITER {1986},NO-LABEL,21.06.1986,78,00,00,00,00,00,02
YELLOW SUBMARINE/ELEANOR RIGBY {1986},PARLOPHONE,30.08.1986,63,00,00,00,00,01,02
PENNY LANE/STRAWBERRY FIELDS FOREVER {1987},PARLOPHONE,28.02.1987,65,00,00,00,00,02,02
ALL YOU NEED IS LOVE {1987},PARLOPHONE,18.07.1987,47,00,00,00,00,03,03
HELLO GOODBYE {1987},PARLOPHONE,05.12.1987,63,00,00,00,00,01,02
LADY MADONNA {1988},PARLOPHONE,26.03.1988,67,00,00,00,00,01,02
HEY JUDE {1988},APPLE,10.09.1988,52,00,00,00,00,02,02
GET BACK {1989},APPLE,22.04.1989,74,00,00,00,00,01,02
THE BALLAD OF JOHN AND YOKO {1989},NO-LABEL,10.06.1989,84,00,00,00,00,00,02
SOMETHING/COME TOGETHER {1989},NO-LABEL,11.11.1989,84,00,00,00,00,00,01
LET IT BE {1990},NO-LABEL,17.03.1990,78,00,00,00,00,00,01
LOVE ME DO {1992},PARLOPHONE,17.10.1992,53,00,00,00,00,01,01
BABY IT'S YOU,PARLOPHONE,01.04.1995,07,00,02,02,03,07,14
FREE AS A BIRD,APPLE,16.12.1995,02,00,03,04,05,08,14
REAL LOVE,APPLE,16.03.1996,04,00,02,02,03,07,09
TWIST AND SHOUT,EMI,27.11.2010,48,00,00,00,00,02,02
HERE COMES THE SUN,EMI,27.11.2010,58,00,00,00,00,02,04
