Titre,Label,Date de sortie,Niveau max atteint,top 1,top 10,top 20,top 40,top 75, top 100
Singles,
COME ON,DECCA,31.07.1963,21,00,00,00,12,14,14
I WANNA BE YOUR MAN,DECCA,20.11.1963,12,00,00,09,15,16,16
NOT FADE AWAY,DECCA,04.03.1964,03,00,07,09,13,15,15
IT'S ALL OVER NOW,DECCA,08.07.1964,01,01,09,11,15,15,15
LITTLE RED ROOSTER,DECCA,25.11.1964,01,01,05,08,11,12,12
THE LAST TIME,DECCA,10.03.1965,01,03,07,09,12,13,13
(I CAN'T GET NO) SATISFACTION,DECCA,01.09.1965,01,02,07,10,11,12,12
GET OFF OF MY CLOUD,DECCA,03.11.1965,01,03,06,08,12,12,12
NINETEENTH NERVOUS BREAKDOWN,DECCA,16.02.1966,02,00,04,07,08,08,08
"PAINT IT, BLACK",DECCA,25.05.1966,01,01,05,07,09,10,10
HAVE YOU SEEN YOUR MOTHER BABY STANDING IN THE SHADOW,DECCA,05.10.1966,05,00,04,06,08,08,08
LET'S SPEND THE NIGHT TOGETHER,DECCA,25.01.1967,03,00,05,07,10,10,10
WE LOVE YOU/DANDELION,DECCA,29.08.1967,08,00,04,06,08,08,08
JUMPIN' JACK FLASH,DECCA,04.06.1968,01,02,07,09,11,11,11
HONKY TONK WOMEN,DECCA,15.07.1969,01,05,11,12,16,17,17
BROWN SUGAR/BITCH/LET IT ROCK,ROLLING STONES,24.04.1971,02,00,07,09,12,13,13
STREET FIGHTING MAN,DECCA,03.07.1971,21,00,00,00,06,08,08
TUMBLING DICE,ROLLING STONES,29.04.1972,05,00,03,06,08,08,08
ANGIE,ROLLING STONES,01.09.1973,05,00,04,05,09,10,10
IT'S ONLY ROCK AND ROLL,ROLLING STONES,03.08.1974,10,00,01,04,07,07,07
OUT OF TIME,DECCA,20.09.1975,45,00,00,00,00,02,02
FOOL TO CRY,ROLLING STONES,01.05.1976,06,00,04,06,09,10,10
MISS YOU,ROLLING STONES,03.06.1978,03,00,05,06,10,13,13
RESPECTABLE,ROLLING STONES,30.09.1978,23,00,00,00,08,09,09
EMOTIONAL RESCUE,ROLLING STONES,05.07.1980,09,00,01,05,05,08,08
SHE'S SO COLD,ROLLING STONES,04.10.1980,33,00,00,00,02,06,06
START ME UP,ROLLING STONES,29.08.1981,07,00,02,04,07,09,09
WAITING ON A FRIEND,ROLLING STONES,12.12.1981,50,00,00,00,00,06,06
GOING TO A GO GO,ROLLING STONES,12.06.1982,26,00,00,00,04,06,06
TIME IS ON MY SIDE,ROLLING STONES,02.10.1982,62,00,00,00,00,02,02
UNDERCOVER OF THE NIGHT,ROLLING STONES,12.11.1983,11,00,00,03,05,09,11
SHE WAS HOT,ROLLING STONES,11.02.1984,42,00,00,00,00,04,04
BROWN SUGAR,ROLLING STONES,14.07.1984,58,00,00,00,00,02,04
HARLEM SHUFFLE,ROLLING STONES,15.03.1986,13,00,00,02,05,07,08
ONE HIT (TO THE BODY),NO-LABEL,31.05.1986,80,00,00,00,00,00,02
MIXED EMOTIONS,ROLLING STONES,02.09.1989,36,00,00,00,03,05,05
ROCK AND A HARD PLACE,ROLLING STONES,25.11.1989,63,00,00,00,00,01,03
"PAINT IT, BLACK {1990}",LONDON,23.06.1990,61,00,00,00,00,03,03
ALMOST HEAR YOU SIGH,ROLLING STONES,30.06.1990,31,00,00,00,03,05,05
TERRIFYING,NO-LABEL,11.08.1990,82,00,00,00,00,00,02
HIGHWIRE,ROLLING STONES,30.03.1991,29,00,00,00,02,04,04
RUBY TUESDAY (LIVE),ROLLING STONES,01.06.1991,59,00,00,00,00,02,02
LOVE IS STRONG,VIRGIN,16.07.1994,14,00,00,01,02,05,05
YOU GOT ME ROCKING,VIRGIN,08.10.1994,23,00,00,00,02,03,03
OUT OF TEARS,VIRGIN,10.12.1994,36,00,00,00,02,04,06
I GO WILD,VIRGIN,15.07.1995,29,00,00,00,01,03,03
LIKE A ROLLING STONE,VIRGIN,11.11.1995,12,00,00,01,03,05,07
ANYBODY SEEN MY BABY?,VIRGIN,04.10.1997,22,00,00,00,01,03,03
SAINT OF ME,VIRGIN,07.02.1998,26,00,00,00,01,02,02
OUT OF CONTROL,VIRGIN,22.08.1998,51,00,00,00,00,01,02
DON'T STOP,VIRGIN,28.12.2002,36,00,00,00,01,02,02
SYMPATHY FOR THE DEVIL,MERCURY,13.09.2003,14,00,00,01,03,06,07
STREETS OF LOVE/ROUGH JUSTICE,VIRGIN,03.09.2005,15,00,00,01,02,04,04
RAIN FALL DOWN,VIRGIN,17.12.2005,33,00,00,00,01,02,03
BIGGEST MISTAKE,VIRGIN,02.09.2006,51,00,00,00,00,01,02
PAINT IT BLACK,ABKCO/DECCA,02.06.2007,70,00,00,00,00,01,11
GIMME SHELTER,ABKCO,20.11.2010,76,00,00,00,00,00,02
DOOM AND GLOOM,POLYDOR,27.10.2012,97,00,00,00,00,00,01
DOOM AND GLOOM,POLYDOR,24.11.2012,61,00,00,00,00,03,04
LIVING IN A GHOST TOWN,POLYDOR,07.05.2020,61,00,00,00,00,02,02
Albums
ROLLING STONES,DECCA,25.04.1964,01,12,42,51,51,51,51
ROLLING STONES NO.2,DECCA,23.01.1965,01,10,24,37,37,37,37
