ID,Pays,Nmb de concert
1,United States,892
2,Australia,403
3,United Kingdom,306
4,Germany,178
5,Canada,84
6,France,68
7,Sweden,34
8,Switzerland,26
9,Spain,26
10,Belgium,23
11,Netherlands,21
12,Japan,16
13,Italy,12
14,Finland,11
15,Denmark,10
16,Norway,10
17,New Zealand,10
18,Ireland,9
19,Austria,8
20,Argentina,5
21,Brazil,5
22,Czech Republic,4
23,Mexico,3
24,Poland,3
25,Portugal,3
26,Hungary,2
27,Bulgaria,1
28,Chile,1
29,Greece,1
30,Isle Of Man,1
31,Puerto Rico,1
32,Romania,1
33,Serbia,1
34,Russia,1
