ID,Pays,Nmb de concert
1,United Kingdom,391
2,United States,175
3,France,55
4,Germany,49
5,Japan,44
6,Italy,30
7,Spain,28
8,Canada,23
9,Sweden,19
10,Ireland,15
11,Australia,13
12,Denmark,12
13,Switzerland,11
14,Netherlands,10
15,Belgium,9
16,Mexico,6
17,Portugal,6
18,Argentina,5
19,Norway,5
20,Austria,4
21,Russia,4
22,Brazil,3
23,Finland,3
24,Chile,2
25,Hong Kong,2
26,Iceland,2
27,United Arab Emirates,1
28,Estonia,1
29,Faroe Islands,1
30,Greenland,1
31,Greece,1
32,Hungary,1
33,Indonesia,1
34,South Korea,1
35,New Zealand,1
36,Peru,1
37,Poland,1
38,Singapore,1
39,Thailand,1
40,Uruguay,1
