ID,Pays,Nmb de concert
1,United States,31
2,Australia,14
3,Japan,9
4,France,4
5,United Kingdom,3
6,New Zealand,3
7,Switzerland,2
8,Germany,2
9,Denmark,2
10,Italy,2
11,South Korea,2
12,Norway,2
13,Russia,2
14,Belgium,1
15,Canada,1
16,Spain,1
17,Finland,1
18,Greece,1
19,Hong Kong,1
20,Croatia,1
21,Hungary,1
22,Indonesia,1
23,Ireland,1
24,Luxembourg,1
25,Latvia,1
26,Monaco,1
27,Mexico,1
28,Malaysia,1
29,Netherlands,1
30,Poland,1
31,Romania,1
32,Serbia,1
33,Sweden,1
34,Singapore,1
35,Taiwan,1
36,Ukraine,1
