ID,Pays,Nmb de concert
1,United Kingdom,407
2,United States,359
3,France,139
4,Germany,104
5,Australia,61
6,Italy,49
7,Japan,48
8,Canada,45
9,Spain,33
10,Switzerland,32
11,Netherlands,30
12,Belgium,25
13,Ireland,20
14,Denmark,19
15,Norway,19
16,Austria,17
17,Mexico,17
18,Portugal,15
19,Sweden,14
20,Finland,13
21,Brazil,12
22,Russia,11
23,Argentina,9
24,Hungary,6
25,South Korea,6
26,New Zealand,6
27,Poland,6
28,Latvia,5
29,Chile,4
30,Czech Republic,4
31,Greece,4
32,Luxembourg,4
33,Singapore,4
34,Hong Kong,3
35,Turkey,3
36,Ukraine,3
37,United Arab Emirates,2
38,China,2
39,Colombia,2
40,Iceland,2
41,Romania,2
42,South Africa,2
43,Estonia,1
44,Croatia,1
45,Indonesia,1
46,Lithuania,1
47,Monaco,1
48,Malaysia,1
49,Peru,1
50,Serbia,1
51,Thailand,1
52,Taiwan,1
