ID,Pays,Nmb de concert
1,United Kingdom,296
2,United States,213
3,Japan,55
4,Germany,50
5,France,50
6,Canada,33
7,Italy,32
8,Spain,23
9,Ireland,22
10,Australia,20
11,Sweden,13
12,Netherlands,12
13,Belgium,9
14,Switzerland,9
15,Brazil,8
16,Denmark,8
17,Mexico,7
18,Argentina,6
19,Austria,4
20,Norway,4
21,Portugal,4
22,Chile,3
23,Hong Kong,3
24,South Korea,3
25,New Zealand,2
26,Singapore,2
27,Thailand,2
28,Venezuela,2
29,South Africa,2
30,Czech Republic,1
31,Finland,1
32,Greece,1
33,Hungary,1
34,Peru,1
35,Poland,1
36,Taiwan,1
