ID,Pays,Nmb de concert
1,United States,355
2,United Kingdom,325
3,France,64
4,Canada,57
5,Japan,45
6,Germany,38
7,Italy,33
8,Netherlands,30
9,Spain,26
10,Australia,19
11,Belgium,17
12,Ireland,16
13,Denmark,13
14,Mexico,13
15,Sweden,13
16,Portugal,12
17,Switzerland,10
18,Israel,9
19,Norway,5
20,New Zealand,5
21,Brazil,4
22,Chile,3
23,Greece,3
24,Poland,3
25,Argentina,2
26,Finland,2
27,Thailand,2
28,Austria,1
29,Colombia,1
30,Czech Republic,1
31,Hong Kong,1
32,Hungary,1
33,Iceland,1
34,South Korea,1
35,Peru,1
36,Taiwan,1
