ID,Pays,Nmb de concert
1,United States,677
2,United Kingdom,669
3,Germany,116
4,Canada,70
5,Australia,66
6,France,51
7,Netherlands,41
8,Japan,39
9,Sweden,31
10,Denmark,25
11,Spain,24
12,Italy,23
13,New Zealand,20
14,Austria,16
15,Argentina,15
16,Switzerland,15
17,Belgium,14
18,Brazil,12
19,Ireland,11
20,Mexico,10
21,Norway,9
22,Czech Republic,6
23,Finland,6
24,Portugal,6
25,Poland,5
26,Singapore,5
27,Guernsey,3
28,Croatia,3
29,Chile,2
30,China,2
31,Greece,2
32,Hong Kong,2
33,Hungary,2
34,India,2
35,Jersey,2
36,Russia,2
37,South Africa,2
38,United Arab Emirates,1
39,Colombia,1
40,Cuba,1
41,Estonia,1
42,Israel,1
43,Isle Of Man,1
44,Luxembourg,1
45,Montenegro,1
46,Macao,1
47,Peru,1
48,Puerto Rico,1
49,Romania,1
50,Serbia,1
51,Turkey,1
52,Uruguay,1
